CountyID,CountyName,ReferralYear,Rate
62,Pontotoc,2010,2.39
62,Pontotoc,2011,4.79
62,Pontotoc,2012,5.81
63,Pottawatomie,2007,1.67
63,Pottawatomie,2008,4.09
63,Pottawatomie,2009,4.09
63,Pottawatomie,2010,3.64
63,Pottawatomie,2011,3.94
63,Pottawatomie,2012,4.09
64,Pushmataha,2007,3.5
64,Pushmataha,2008,2.34
64,Pushmataha,2009,0.58
64,Pushmataha,2010,2.34
64,Pushmataha,2011,4.09
64,Pushmataha,2012,1.17
65,Roger Mills,2007,
65,Roger Mills,2008,
65,Roger Mills,2009,
65,Roger Mills,2010,
65,Roger Mills,2011,
65,Roger Mills,2012,
66,Rogers,2007,2.49
66,Rogers,2008,3.2
66,Rogers,2009,2.49
66,Rogers,2010,2.61
66,Rogers,2011,2.37
66,Rogers,2012,3.2
67,Seminole,2007,5.37
67,Seminole,2008,3.72
67,Seminole,2009,6.61
67,Seminole,2010,4.13
67,Seminole,2011,4.96
67,Seminole,2012,4.96
68,Sequoyah,2007,0.54
68,Sequoyah,2008,0.36
68,Sequoyah,2009,0.36
68,Sequoyah,2010,0
68,Sequoyah,2011,0.73
68,Sequoyah,2012,0.54
69,Stephens,2007,2.49
69,Stephens,2008,2.9
69,Stephens,2009,3.11
69,Stephens,2010,5.39
69,Stephens,2011,3.32
69,Stephens,2012,4.98
70,Texas,2007,1.01
70,Texas,2008,2.02
70,Texas,2009,0
70,Texas,2010,1.01
70,Texas,2011,2.02
70,Texas,2012,1.01
71,Tillman,2007,
71,Tillman,2008,
71,Tillman,2009,
71,Tillman,2010,
71,Tillman,2011,
71,Tillman,2012,
72,Tulsa,2007,2.94
72,Tulsa,2008,3.28
72,Tulsa,2009,2.94
72,Tulsa,2010,2.78
72,Tulsa,2011,2.61
72,Tulsa,2012,2.84
73,Wagoner,2007,2.69
73,Wagoner,2008,1.08
73,Wagoner,2009,1.4
73,Wagoner,2010,1.62
73,Wagoner,2011,2.37
73,Wagoner,2012,1.94
74,Washington,2007,3.75
74,Washington,2008,3.31
74,Washington,2009,5.29
74,Washington,2010,3.31
74,Washington,2011,2.2
74,Washington,2012,3.31
75,Washita,2007,1.19
75,Washita,2008,4.78
75,Washita,2009,4.78
75,Washita,2010,4.78
75,Washita,2011,1.19
75,Washita,2012,10.75
76,Woods,2007,3.69
76,Woods,2008,1.85
76,Woods,2009,1.85
76,Woods,2010,5.54
76,Woods,2011,1.85
76,Woods,2012,0
77,Woodward,2007,2.74
77,Woodward,2008,3.65
77,Woodward,2009,1.37
77,Woodward,2010,3.65
77,Woodward,2011,5.94
77,Woodward,2012,2.74
